experiment_id,phase,state,mean_eur_day,median_eur_day,info_gap_pct
S3-crossq-hourly,screening,COMPLETED,61414,57564,-20.03
L1-sac-hourly-target,learnability,COMPLETED,54992,59147,-7.48
L1-milp-anchor,analysis,COMPLETED,53739,55573,-5.03
S2-ppo-target,screening,COMPLETED,51421,53115,-0.50
V6-hybrid-sac-strategic-seed0,confirmation_v2,COMPLETED,50599,52183,0.16
C1-ppo-target-seed1,confirmation,COMPLETED,50487,50873,1.32
S2-ppo-residual,screening,COMPLETED,50020,56603,2.24
V6-hybrid-sac-strategic-seed2,confirmation_v2,COMPLETED,49850,51256,1.64
S2-ppo-hourly,screening,COMPLETED,49848,48211,2.57
V7-bc-hybrid-sac-seed0,confirmation_v2,COMPLETED,49465,51194,2.40
S3-sac-strategic,screening,COMPLETED,49213,52723,3.81
V6-hybrid-sac-strategic-seed1,confirmation_v2,COMPLETED,49211,51158,2.90
S2-tqc-hourly,screening,COMPLETED,49140,44887,3.96
V6-hybrid-sac-strategic-seed4,confirmation_v2,COMPLETED,49052,50980,3.21
V7-bc-hybrid-sac-seed2,confirmation_v2,COMPLETED,48925,49372,3.46
S2-sac-hourly,screening,COMPLETED,48873,42931,4.48
S3-crossq-strategic,screening,COMPLETED,48679,49456,4.86
C1-ppo-target-seed3,confirmation,COMPLETED,48650,50660,4.92
V6-hybrid-sac-strategic-seed3,confirmation_v2,COMPLETED,48531,48993,4.24
V7-bc-hybrid-sac-seed1,confirmation_v2,COMPLETED,47964,52115,5.36
V2-crossq-strategic,screening_v2,COMPLETED,47099,49392,7.06
V4-wide-sac-strategic-seed2,confirmation_v2,COMPLETED,46906,49007,7.45
V2T-sac-strategic-cold,confirmation_v2,COMPLETED,46811,48706,7.63
V4-wide-sac-strategic-seed0,confirmation_v2,COMPLETED,46676,49845,7.90
V2C-crossq-strategic-seed0,confirmation_v2,COMPLETED,46510,49923,8.23
V2T-sac-strategic-cold-seed2,confirmation_v2,COMPLETED,46501,46805,8.24
V3-bc-sac-strategic-seed0,confirmation_v2,COMPLETED,46206,48449,8.83
V2R-crossq-strategic-prefill,confirmation_v2,COMPLETED,45958,48643,9.31
V2T-sac-strategic-cold-seed1,confirmation_v2,COMPLETED,45890,48949,9.45
V5-risk-sac-strategic-seed0,confirmation_v2,COMPLETED,45834,48535,9.56
V3-bc-sac-strategic-seed1,confirmation_v2,COMPLETED,45833,48785,9.56
V3-bc-sac-strategic-seed2,confirmation_v2,COMPLETED,45735,46541,9.76
V2C-crossq-strategic-seed1,confirmation_v2,COMPLETED,45645,49192,9.93
V4-wide-sac-strategic-seed1,confirmation_v2,COMPLETED,45545,47711,10.13
V5-risk-sac-strategic-seed1,confirmation_v2,COMPLETED,45237,48383,10.74
V2C-crossq-strategic-seed2,confirmation_v2,COMPLETED,45226,46338,10.76
V2R-sac-strategic-prefill,confirmation_v2,COMPLETED,44752,47948,11.70
C1-ppo-target-seed2,confirmation,COMPLETED,44725,43775,12.59
V2C-sac-strategic-seed2,confirmation_v2,COMPLETED,44679,46762,11.84
V2C-sac-strategic-seed0,confirmation_v2,COMPLETED,44050,46703,13.08
V2C-sac-strategic-seed1,confirmation_v2,COMPLETED,44018,46863,13.14
V2-ppo-residual,screening_v2,COMPLETED,43554,50186,14.06
V2-sac-strategic,screening_v2,COMPLETED,42627,45320,15.89
S2-tqc-residual,screening,COMPLETED,41943,48845,18.02
V2-ppo-hourly,screening_v2,COMPLETED,38986,39171,23.07
V2-ppo-target,screening_v2,COMPLETED,35333,38615,30.28
L1-ppo-hourly-target,learnability,COMPLETED,15383,8979,69.93
S2-ppo-direct,screening,COMPLETED,6856,4487,86.60
